--------------------results---------------------
man_speed,car_speed,average_time_use_of_method_1,average_time_use_of_method_2,average_time_use_of_method_3
1.500000,3.900000,182.386656,316.619976,136.148160
1.500000,4.000000,186.861100,321.094420,138.696000
1.500000,4.100000,191.335544,325.568864,141.243840
1.500000,4.200000,195.809988,330.043308,143.791680
1.500000,4.300000,200.284432,334.517752,146.339520
1.500000,4.400000,204.758876,338.992196,148.887360
1.500000,4.500000,209.233320,343.466640,151.435200
1.500000,4.600000,213.707764,347.941084,153.983040
1.500000,4.700000,218.182208,352.415528,156.530880
1.500000,4.800000,222.656652,356.889972,159.078720
1.500000,4.900000,227.131096,361.364416,161.626560
1.600000,3.000000,142.642216,285.824424,115.669760
1.600000,3.100000,147.116660,290.298868,118.217600
1.600000,3.200000,151.591104,294.773312,120.765440
1.600000,3.300000,156.065548,299.247756,123.313280
1.600000,3.400000,160.539992,303.722200,125.861120
1.600000,3.500000,165.014436,308.196644,128.408960
1.600000,3.600000,169.488880,312.671088,130.956800
1.600000,3.700000,173.963324,317.145532,133.504640
1.600000,3.800000,178.437768,321.619976,136.052480
1.600000,3.900000,182.912212,326.094420,138.600320
1.600000,4.000000,187.386656,330.568864,141.148160
1.600000,4.100000,191.861100,335.043308,143.696000
1.600000,4.200000,196.335544,339.517752,146.243840
1.600000,4.300000,200.809988,343.992196,148.791680
1.600000,4.400000,205.284432,348.466640,151.339520
1.600000,4.500000,209.758876,352.941084,153.887360
1.600000,4.600000,214.233320,357.415528,156.435200
1.600000,4.700000,218.707764,361.889972,158.983040
1.600000,4.800000,223.182208,366.364416,161.530880
1.600000,4.900000,227.656652,370.838860,164.078720
1.700000,3.000000,143.167772,295.298868,118.121920
1.700000,3.100000,147.642216,299.773312,120.669760
1.700000,3.200000,152.116660,304.247756,123.217600
1.700000,3.300000,156.591104,308.722200,125.765440
1.700000,3.400000,161.065548,313.196644,128.313280
1.700000,3.500000,165.539992,317.671088,130.861120
1.700000,3.600000,170.014436,322.145532,133.408960
1.700000,3.700000,174.488880,326.619976,135.956800
1.700000,3.800000,178.963324,331.094420,138.504640
1.700000,3.900000,183.437768,335.568864,141.052480
1.700000,4.000000,187.912212,340.043308,143.600320
1.700000,4.100000,192.386656,344.517752,146.148160
1.700000,4.200000,196.861100,348.992196,148.696000
1.700000,4.300000,201.335544,353.466640,151.243840
1.700000,4.400000,205.809988,357.941084,153.791680
1.700000,4.500000,210.284432,362.415528,156.339520
1.700000,4.600000,214.758876,366.889972,158.887360
1.700000,4.700000,219.233320,371.364416,161.435200
1.700000,4.800000,223.707764,375.838860,163.983040
1.700000,4.900000,228.182208,380.313304,166.530880
1.800000,3.000000,143.693328,304.773312,120.574080
1.800000,3.100000,148.167772,309.247756,123.121920
1.800000,3.200000,152.642216,313.722200,125.669760
1.800000,3.300000,157.116660,318.196644,128.217600
1.800000,3.400000,161.591104,322.671088,130.765440
1.800000,3.500000,166.065548,327.145532,133.313280
1.800000,3.600000,170.539992,331.619976,135.861120
